"",,G,W-L,PTS,AVG/G
1,Michigan State,8,7-1,751,93.9
2,Iowa,9,8-1,821,91.2
3,Penn State,9,7-2,755,83.9
4,Ohio State,8,7-1,670,83.8
5,Illinois,6,4-2,498,83.0
6,Nebraska,9,7-2,735,81.7
7,Maryland,9,6-3,732,81.3
8,Indiana,8,7-1,631,78.9
9,Minnesota,8,7-1,630,78.8
10,Michigan,8,7-1,605,75.6
11,Rutgers,11,6-5,781,71.0
12,Northwestern,8,3-5,546,68.3
13,Purdue,8,5-3,539,67.4
14,Wisconsin,8,5-3,529,66.1
